13,14,25,27,1
14,16,23,30,1
8,9,11,24,1
12,14,16,20,1
14,16,24,30,1
5,7,10,18,1
4,7,10,17,1
4,7,10,17,1
5,7,10,18,1
9,11,14,25,1
9,11,14,25,1
9,11,14,25,1
13,14,19,23,1
13,14,19,23,1
13,15,24,26,1
12,13,20,24,1
6,8,13,20,1
6,8,13,20,1
4,5,6,19,1
4,6,6,17,1
2,3,4,10,1
6,8,9,16,1
6,8,10,17,1
6,8,11,17,1
8,9,13,23,1
6,8,9,16,1
4,6,6,17,1
6,9,12,20,1
6,8,12,20,1
6,8,13,20,1
6,9,14,20,1
5,8,11,19,1
5,8,11,19,1
5,8,11,19,1
8,9,11,24,1
12,16,29,28,1
9,12,17,24,1
8,9,14,22,1
15,15,25,27,1
13,14,25,27,1
9,12,17,24,1
9,10,12,25,1
9,12,17,32,1
5,7,10,18,1
4,7,10,17,1
6,9,14,19,1
13,14,19,23,1
12,13,20,24,1
4,5,7,20,1
6,8,9,16,1
8,9,13,24,0
5,6,9,19,0
7,8,9,19,0
9,10,15,25,0
7,8,11,20,0
6,7,10,21,0
5,7,8,23,0
11,12,15,16,0
8,10,18,19,0
4,5,6,17,0
0,2,5,4,0
8,9,13,23,0
11,12,18,26,0
5,6,9,19,0
6,7,9,26,0
12,12,15,33,0
8,8,11,21,0
8,8,12,20,0
6,7,8,18,0
7,9,12,24,0
8,9,14,29,0
11,11,11,28,0
7,8,10,20,0
10,10,15,17,0
11,11,14,30,0
8,9,13,21,0
7,9,13,19,0
4,6,11,22,0
7,8,12,24,0
11,12,15,27,0
7,8,9,20,0
6,8,8,22,0
6,6,10,17,0
16,18,23,33,0
10,10,12,22,0
6,8,8,19,0
6,8,6,22,0
6,7,8,18,0
2,4,6,5,0
5,7,8,26,0
5,7,8,22,0
6,9,10,16,0
11,11,15,24,0
6,7,9,21,0
6,8,10,16,0
3,4,2,4,0
10,11,14,23,0
7,8,12,24,0
3,5,5,23,0
11,12,17,30,0
7,8,9,20,0
7,8,9,20,0
7,9,11,25,0
6,8,8,24,0
10,11,12,24,0
7,10,11,27,0
9,11,14,26,0
6,8,10,20,0
8,11,12,21,0
9,11,14,26,0
7,10,13,20,0
10,13,18,24,0
10,13,18,24,0
10,13,18,24,0
8,10,12,24,0
5,6,10,19,0
4,6,9,24,0
6,6,8,19,0
4,6,6,22,0
8,10,14,23,0
8,10,12,26,0
10,13,20,28,0
12,13,19,30,0
12,13,19,30,0
11,13,19,26,0
12,12,13,28,0
12,13,16,31,0
10,10,14,24,0
9,10,16,21,0
10,11,14,27,0
9,10,12,26,0
7,8,10,18,0
6,5,7,20,0
9,10,13,30,0
2,4,6,5,0
12,12,16,19,0
4,5,3,9,0
7,9,13,22,0
9,10,13,20,0
8,9,10,24,0
10,10,11,28,0
7,8,10,20,0
7,8,10,20,0
8,9,10,24,0
5,7,10,23,0
7,9,11,25,0
10,11,13,24,0
7,8,9,20,0
11,12,14,27,0
7,9,14,22,0
